id,meses,vol_mensual,gestion,created_at,updated_at
29,Septiembre,62011.0,2025,1763363407814.313,1763363407814.313
4,2020,38377.76,2020,1763363407814.313,1763363407814.313
10,Febrero,52823.7,2024,1763363407814.313,1763363407814.313
9,Enero,46620.55,2024,1763363407814.313,1763363407814.313
7,2023,321834.62,2023,1763363407814.313,1763363407814.313
15,Julio,55838.22,2024,1763363407814.313,1763363407814.313
6,2022,396127.45,2022,1763363407814.313,1763363407814.313
26,Junio,43705.0,2025,1763363407814.313,1763363407814.313
12,Abril,30223.38,2024,1763363407814.313,1763363407814.313
24,Abril,53960.0,2025,1763363407814.313,1763363407814.313
19,Noviembre,54287.88,2024,1763363407814.313,1763363407814.313
25,Mayo,54664.0,2025,1763363407814.313,1763363407814.313
21,Enero,61674.0,2025,1763363407814.313,1763363407814.313
14,Junio,54067.8,2024,1763363407814.313,1763363407814.313
3,2019,343629.74,2019,1763363407814.313,1763363407814.313
17,Septiembre,50859.12,2024,1763363407814.313,1763363407814.313
28,Agosto,53390.0,2025,1763363407814.313,1763363407814.313
22,Febrero,6888.0,2025,1763363407814.313,1763363407814.313
20,Diciembre,61709.0,2024,1763363407814.313,1763363407814.313
13,Mayo,46777.86,2024,1763363407814.313,1763363407814.313
1,2017,6371.75,2017,1763363407814.313,1763363407814.313
5,2021,87791.1,2021,1763363407814.313,1763363407814.313
18,Octubre,26344.6,2024,1763363407814.313,1763363407814.313
2,2018,265257.72,2018,1763363407814.313,1763363407814.313
16,Agosto,57660.63,2024,1763363407814.313,1763363407814.313
27,Julio,72336.0,2025,1763363407814.313,1763363407814.313
23,Marzo,38469.0,2025,1763363407814.313,1763363407814.313
11,Marzo,31433.75,2024,1763363407814.313,1763363407814.313
