id,gestion,argentina,brazil,total,created_at,updated_at
4,2019.0,18.42,13.97,32.38,1763474070269.44,1763474070269.44
10,2025.0,12.73,1.69,14.42,1763474076657.274,1763474076657.274
6,2021.0,20.03,12.8,32.83,1763474076611.1309,1763474076611.1309
2,2017.0,24.0,17.74,41.74,1763474062262.5042,1763474062262.5042
9,2024.0,14.2,3.26,17.46,1763474076646.276,1763474076646.276
3,2018.0,21.86,16.09,37.94,1763474070257.041,1763474070257.041
5,2020.0,17.91,14.84,32.75,1763474076583.185,1763474076583.185
7,2022.0,17.54,10.53,28.07,1763474076622.3518,1763474076622.3518
1,2016.0,28.08,15.43,43.51,1763474062249.369,1763474062249.369
8,2023.0,15.54,6.28,21.83,1763474076633.929,1763474076633.929
