id,meses,vol_mensual,gestion,created_ad,updated_at
42,julio,48791.6,2025,1763360658914.689,1763360658914.689
29,junio,45145.81,2024,1763360658914.689,1763360658914.689
34,noviembre,41081.77,2024,1763360658914.689,1763360658914.689
41,junio,45341.62,2025,1763360658914.689,1763360658914.689
40,mayo,47260.3,2025,1763360658914.689,1763360658914.689
43,agosto,44866.72,2025,1763360658914.689,1763360658914.689
32,septiembre,41479.34,2024,1763360658914.689,1763360658914.689
35,diciembre,41903.4,2024,1763360658914.689,1763360658914.689
38,marzo,43763.15,2025,1763360658914.689,1763360658914.689
26,marzo,39932.02,2024,1763360658914.689,1763360658914.689
39,abril,46276.96,2025,1763360658914.689,1763360658914.689
24,enero,41377.98,2024,1763360658914.689,1763360658914.689
19,2019,464532.58,2019,1763360658914.689,1763360658914.689
36,enero,42214.23,2025,1763360658914.689,1763360658914.689
25,febrero,39478.51,2024,1763360658914.689,1763360658914.689
31,agosto,45687.17,2024,1763360658914.689,1763360658914.689
30,julio,47219.61,2024,1763360658914.689,1763360658914.689
21,2021,487994.54,2021,1763360658914.689,1763360658914.689
17,2017,438577.68,2017,1763360658914.689,1763360658914.689
37,febrero,40376.67,2025,1763360658914.689,1763360658914.689
28,mayo,44783.64,2024,1763360658914.689,1763360658914.689
22,2022,503875.55,2022,1763360658914.689,1763360658914.689
20,2020,443271.15,2020,1763360658914.689,1763360658914.689
33,octubre,43316.81,2024,1763360658914.689,1763360658914.689
18,2018,453393.58,2018,1763360658914.689,1763360658914.689
16,2016,428899.28,2016,1763360658914.689,1763360658914.689
27,abril,43152.89,2024,1763360658914.689,1763360658914.689
23,2023,497481.15,2023,1763360658914.689,1763360658914.689
44,septiembre,44956.45,2025,1763360658914.689,1763360658914.689
